media	title	num_likes	uri	entities
FOCUS Online	Kölner Silvesternacht im News-Ticker	11713	http://www.focus.de/politik/deutschland/news-ticker-zur-koelner-silvesternacht-silvesternacht-unter-starken-sicherheitsvorkehrungen-focus-online-in-koeln_id_6429489.html	köln;mathies;focus;online;düsseldorf
DIE WELT	Silvester in Köln: Große Gruppen von Nordafrikanern irritieren die Polizei	11713	https://www.welt.de/politik/deutschland/article160749025/Grosse-Gruppen-von-Nordafrikanern-irritieren-die-Polizei.html?campaign_id=A100#Comments	mathies;jäger;philipp;düsseldorf;whatsapp
Süddeutsche.de	Obdachloser angezündet - Haftbefehle gegen Verdächtige	8011	http://www.sueddeutsche.de/panorama/berlin-obdachloser-angezuendet-tatverdaechtige-stellen-sich-1.3310600	libyen;schönleinstraße;syrien;deutschland;rbb
Alternative für Deutschland	NO_TITLE	6696	https://www.alternativefuer.de/wp-content/uploads/sites/7/2016/05/2016-06-27_afd-grundsatzprogramm_web-version.pdf	
WDR	Beschlagnahmte Korane in der Wüste vergraben?	6696	http://www1.wdr.de/nachrichten/rheinland/entsorgung-beschlagnahmte-korane-100.html	wdr
DIE WELT	GdP-Chef in Hessen: „Polizeibeschäftigte wenden sich von etablierten Parteien ab“	5437	https://www.welt.de/politik/deutschland/article160599160/Polizeibeschaeftigte-wenden-sich-von-etablierten-Parteien-ab.html	deutschland;andreas;heiko;euro;wendt
koeln.de	Das Silvester-Programm 2016 am Kölner Dom	4800	http://www.koeln.de/koeln/was_ist_los/silvester/das-silvester-programm-2016-am-koelner-dom_1039916.html	philipp;cologne;woelki;timedrift;michael
Rheinische Post	Flüchtlinge als Sicherheitsleute in Kölner Silvesternacht eingesetzt	4800	http://www.rp-online.de/nrw/staedte/koeln/fluechtlinge-als-sicherheitsleute-in-koelner-silvesternacht-eingesetzt-aid-1.6492715	köln;algerien;euro;marokko;deutschland
tagesschau.de	Vertraulicher BKA-Bericht: Zuwanderer begehen weniger Straftaten	3937	http://www.tagesschau.de/inland/bka-kriminalitaet-fluechtlinge-103.html	bka;deutschland;irak;syrien;ndr
bka.de	BKA  -  Lagebilder - Bundeslagebild Kriminalität im Kontext von Zuwanderung 2015	3937	https://www.bka.de/SharedDocs/Downloads/DE/Publikationen/JahresberichteUndLagebilder/KriminalitaetImKontextVonZuwanderung/KriminalitaetImKontextVonZuwanderung_2015.html	bka
bka.de	BKA  -  Kriminalität im Kontext von Zuwanderung - Kernaussagen 'Kriminalität im Kontext von Zuwanderung', Betrachtungszeitraum: 01.01. – 30.09.2016	3937	https://www.bka.de/SharedDocs/Downloads/DE/Publikationen/JahresberichteUndLagebilder/KriminalitaetImKontextVonZuwanderung/kernaussagenZuKriminalitaetImKontextVonZuwanderung.html?nn=62336	bka
afdspenden.de	AfD Spenden - Spendenkampagne 2016	2171	https://afdspenden.de/	deutschland;afd;meuthen;euro;deutschlands
DIE WELT	SPD-Vize Stegner fordert Rückführungsabkommen	1910	https://www.welt.de/politik/deutschland/article160617271/Gefaehrdern-keine-Chance-zum-Untertauchen-lassen.html	stegner;spd;gabriel;ralf;sigmar
DIE WELT	Flüchtlingskrise: Immer weniger Deutsche glauben an Integrationserfolg	33	https://www.welt.de/politik/deutschland/article160597281/Immer-weniger-Deutsche-glauben-an-Integrationserfolg.html	deutschland;kramp-karrenbauer;cdu;opaschowski;ipsos
blastingnews.com	AfD-Anhänger erweisen totem LKW-Fahrer von Berlin die letzte Ehre	17	http://de.blastingnews.com/politik/2016/12/afd-anhanger-erweisen-totem-lkw-fahrer-von-berlin-die-letzte-ehre-001339099.html	afd;polen;berlin;urban;hamburg
Facebook	Guido Reil ist zum Direktkandidaten zur Landtagswahl 2017 für die AfD für den Wahlkreis 65 Essen I - MH II gewählt worden!	15	https://www.facebook.com/498550173567592/videos/1257389127683689/
Facebook	"Wählt mich, ich kann sonst nichts"	12	https://www.facebook.com/AfDBgL/posts/1841684176109302
Deutsche Wirtschaftsnachrichten	Bilderberg-Website gehackt, Drohung an die Eliten	10	https://deutsche-wirtschafts-nachrichten.de/2016/12/31/bilderberg-website-gehackt-drohung-an-die-eliten/?nlid=7066dcd1ca	hackback;movement
Facebook	Ein erfolgreiches Jahr für die AfD geht zu Ende und ein noch erfolgreicheres Jahr 2017 erwartet uns.	10	https://www.facebook.com/AfDBgL/photos/a.1400119830265741.1073741829.1396976483913409/1842789235998796/?type=3&theater
Facebook	Verfassungsrechtliches Gutachten bestätigt: Merkels Grenzöffnung war rechtswidrig!	10	https://m.facebook.com/story.php?story_fbid=1620113344960515&id=1564401833865000
ZEIT ONLINE	Familiennachzug: Regierung blockiert Familiennachzug für minderjährige Flüchtlinge	9	http://www.zeit.de/politik/deutschland/2016-12/familiennachzug-unbegleitete-minderjaehrige-fluechtlinge-deutschland-schutzlosigkeit	ard;deutschland;maizière;spd;thomas
Epoch Times	Deutschland "muss Syrer nicht dauerhaft integrieren": Meuthen hält baldige Rückführung syrischer Flüchtlinge für denkbar	8	http://www.epochtimes.de/politik/deutschland/deutschland-muss-syrer-nicht-dauerhaft-integrieren-meuthen-haelt-baldige-rueckfuehrung-syrischer-fluechtlinge-fuer-denkbar-a2012062.html	syrien;deutschland;meuthen;hampel;paul
aidabund.de	AidA Umfrage: Leiharbeit	7	http://aidabund.de/2016/12/27/aida-umfrage-leiharbeit/	waldheim;christian;cookies
alexander-tassis.de	Bremen zieht positive Bilanz für das Jahresende	7	http://alexander-tassis.de/bremen-zieht-positive-bilanz-fuer-das-jahresende/	bremen;alexander;afd;deutschland;tassis
bundesdeutsche-zeitung.de	Gauland: Nicht wir, sondern die Muslime müssen sich anpassen	7	http://bundesdeutsche-zeitung.de/headlines/national-headlines/gauland-nicht-wir-sondern-die-muslime-muessen-sich-anpassen-963461	deutschland;reply;afd;storch;anonymous
Unzensuriert.at	Laut Umfrage: Tiroler ÖVP droht "blaues Wunder"	6	https://www.unzensuriert.at/content/0022719-Laut-Umfrage-Tiroler-OeVP-droht-blaues-Wunder	markus;tirol;abwerzger;iban;mail
afd-kompakt.de	AfD Kompakt - Das Mitgliedermagazin der Alternative für Deutschland	6	https://afd-kompakt.de/	afd
Facebook	+++ Und es geht noch weiter - Putin gibt Obama und dessen #KÜCHENDIPLOMATIE volle freundliche Breitseite! +++	6	https://www.facebook.com/220982371426073/photos/a.220998128091164.1073741828.220982371426073/635969796593993/?type=3&theater
Facebook	Nach dem Anschlag auf den Berliner Weihnachtsmarkt kommt die bislang größte Einzelspende für die Opfer und deren Familien von der US-Band "OneRepublic".	6	https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10154924150149407/?type=3
tagesspiegel.de	AfD gewinnt rund 4000 Mitglieder hinzu	5	http://www.tagesspiegel.de/politik/parteien-in-deutschland-afd-gewinnt-rund-4000-mitglieder-hinzu/19184670.html	spd;cdu;csu;fdp;afd
Facebook	Hier meine alternative "Neujahrsansprache".	5	https://www.facebook.com/festnicolaus/videos/1452111738155842/?pnref=story
Facebook	Aufgrund vieler Nachfragen gibt es die Neujahrsansprache Frauke Petrys nun auch in besserer Qualität.	5	https://www.facebook.com/tv.afd/?ref=ts&fref=ts	türkei;deutschland;erdogan;gülen;rheinland-pfalz
Facebook	Dr.Frauke.Petry	5	https://www.facebook.com/Dr.Frauke.Petry/?ref=ts&fref=ts	deutschland;petry;frauke;faz;bka
Facebook	NO_TITLE	5	https://www.facebook.com/alternativefuerde/?fref=ts	erhard;ludwig;münchau;gabriel;deutschland
dailysabah.com	Bundespräsident Gauck entschuldigt sich beim Imam	5	http://www.dailysabah.com/deutsch/politik/2016/10/05/bundespraesident-gauck-entschuldigt-sich-beim-imam
