media	title	num_likes	uri	entities
derwesten.de	Düsseldorferin belästigt, Freund verdrischt sechs Angreifer	1322	http://www.derwesten.de/region/weil-sie-seine-freundin-belaestigten-duesseldorfer-nimmt-es-mit-sechs-maennern-auf-und-macht-sie-fertig-id209096201.html	düsseldorf
euronews.com	Rumäniens Präsident verweigert Ernennung muslimischer Politikerin zur Regierungschefin	437	http://de.euronews.com/2016/12/27/rumaeniens-praesident-verweigert-ernennung-muslimischer-politikerin-zur	rumäniens
kurier.at	Landespolizei­di­rek­tor Pilsl: "Wir wollen nichts beschönigen" 	340	https://kurier.at/chronik/oberoesterreich/100-prozent-der-auffaelligen-sind-muslime/238.676.447	pilsl;linz;klm;ried;luger
Epoch Times	Erste Bilanz der Silvester-Nacht in Köln: Zwei sexuelle Übergriffe, sechs Festnahmen, hunderte Platzverweise	240	http://www.epochtimes.de/politik/deutschland/erste-bilanz-der-silvester-koeln-zwei-sexuelle-uebergriffe-sechs-festnahmen-hunderte-platzverweise-a2013235.html	deutz;epoch;images;baldes;domes
Facebook	Civil March For Aleppo	222	https://www.facebook.com/CivilMarchForAleppo/
wordpress.com	Köln: Abstimmung mit den Füßen	212	https://quotenqueen.wordpress.com/2017/01/01/koeln-abstimmung-mit-den-fuessen/	köln;woelki;share;reker;taz
FOCUS Online	CSU-Mann behauptet: Familiennachzug ist größeres Problem als neue Flüchtlinge	195	http://m.focus.de/politik/deutschland/kommunen-drohe-ueberlastung-csu-mann-behauptet-familiennachzug-ist-groesseres-problem-als-neue-fluechtlinge_id_6406367.htmlv	csu;deutschland;thilo;sarrazin;afd
journalistenwatch.com	IS ruft zu Silvester zum großen "Abschlachten" auf!	190	http://www.journalistenwatch.com/2016/12/30/is-ruft-zu-silvester-zum-grossen-abschlachten-auf/	frankreich;niederlanden;kanada;europa;usa
Epoch Times	Özoguz nach Feuerattacke gegen Obdachlosen: Junge Flüchtlinge brauchen spezielle Fördermaßnahmen	189	http://www.epochtimes.de/politik/deutschland/oezoguz-nach-feuerattacke-gegen-obdachlosen-junge-fluechtlinge-brauchen-spezielle-foerdermassnahmen-a2010967.html	schulz;özoguz;aydan;andré;epoch
Facebook	Jens Maier	160	https://www.facebook.com/alternativeimbundestag/	merkel;berlin;hamburg;würzburg;deutschlands
n-tv.de	Köln, Hauptbahnhof: Wer feiern darf und wer nicht	159	http://www.n-tv.de/politik/Wer-feiern-darf-und-wer-nicht-article19445146.html	n-tv;mathies;dpa;deutschland;köln
civilmarch.org	Here you can join: Our route.	157	http://civilmarch.org/here-you-can-join-our-route/	brandenburg;day;the;dec;from
Facebook	+++ SPONTANE #DEMO AM RANDE DES ALEPPO-MARSCHES +++	157	https://www.facebook.com/JeanPascal.Hohm/posts/1872522122969224
journalistenwatch.com	Renate Sandvoß: Marsch nach Aleppo - Gutmenschen ohne Sinn und Verstand	157	http://www.journalistenwatch.com/2016/12/29/marsch-nach-aleppo-gutmenschen-ohne-sinn-und-verstand/	alboth;aleppo;anna;deutschland;syrien
wochenblatt.de	19-jähriger Afghane aus Dresden demoliert in Regensburg ein Polizeiauto	154	http://www.wochenblatt.de/nachrichten/regensburg/regionales/19-jaehriger-Afghane-aus-Dresden-demoliert-in-Regensburg-ein-Polizeiauto;art1172,414010
journalistenwatch.com	Alle "geboren" am 1.1.1999: Tausende Flüchtlinge gelten ab Neujahr als volljährig	146	http://www.journalistenwatch.com/2016/12/30/alle-geboren-am-1-1-1999-tausende-fluechtlinge-gelten-ab-neujahr-als-volljaehrig/	bayern;euro
FOCUS Online	Friedrich und Weik: Experten malen Untergangsszenario für 2017	146	http://www.focus.de/finanzen/experten/weik_und_friedrich/2016-war-der-wendepunkt-griechenland-pleite-ende-von-eu-und-merkel-experten-malen-untergangsszenario-fuer-2017_id_6419950.html	euro;ezb;italien;deutschland;griechenland
bz-berlin.de	Obdachloser in Berlin angezündet: Das sind die Verdächtigen!	123	http://www.bz-berlin.de/berlin/friedrichshain-kreuzberg/obdachloser-in-berlin-angezuendet-das-sind-die-verdaechtigen	schönleinstraße;berlins;spd;b.z.;andreas
Facebook	Lutz Bachmann	120	https://www.facebook.com/pegidalutz/	bamf;afrika;mit
wochenblick.at	Silvester in Dortmund: „Allahu Akbar“ und Kirchenbrand	116	https://www.wochenblick.at/silvester-in-dortmund-allahu-akbar-und-kirchenbrand/	dortmund;leeds;frankreich;würzburg;bandermann
presseportal.de	POL-HB: Nr.: 0761 - Vermisst in Bremen | Pressemitteilung Polizei Bremen	116	http://www.presseportal.de/blaulicht/pm/35235/3521395	
aliceschwarzer.de	Polizeichef teilt Attentats-These	113	http://www.aliceschwarzer.de/artikel/polizeichef-teilt-attentats-these-333967	mathies;köln;alice;jürgen;schwarzer
